요양기관명,종별코드명,시도코드명,시군구코드명,주소,개설일자
신한은행부속치과의원,치과의원,서울,중구,"서울특별시 중구 세종대로9길 20, 대경빌딩 신한은행 본점 15층 (태평로2가)",1993-01-14
신한의원,한의원,서울,서초구,"서울특별시 서초구 반포대로30길 47, 1층 (서초동)",1998-07-20
신한의원,한의원,서울,광진구,"서울특별시 광진구 용마산로7길 6, (중곡동)",2001-02-06
신한의원,한의원,서울,강남구,"서울특별시 강남구 삼성로 212, A동 208호 (대치동, 은마아파트)",2001-11-19
신한철치과의원,치과의원,서울,성동구,"서울특별시 성동구 마조로 30, 3층 (행당동)",1991-06-14
신한카드부속의원,의원,서울,중구,"서울특별시 중구 을지로 100, A동 3층 301호 (을지로2가)",2017-11-14
신항외과의원,의원,서울,노원구,"서울특별시 노원구 동일로 1098, 4-7층 (공릉동)",2010-03-02
신항장외과의원,의원,서울,동작구,"서울특별시 동작구 상도로 65, 5층 (대방동)",2008-01-31
신현대한의원,한의원,서울,동대문구,"서울특별시 동대문구 왕산로 123, (제기동)",2007-06-11
신현수치과의원,치과의원,서울,종로구,"서울특별시 종로구 새문안로5길 37, (도렴동)",1993-02-11
신현준&신은혜치과의원,치과의원,서울,동대문구,"서울특별시 동대문구 망우로 67, 2층 (휘경동)",1989-02-08
신혜성의원,의원,서울,광진구,"서울특별시 광진구 면목로 147, 3층 (중곡동, 삼영빌딩)",2016-07-29
신혜정치과의원,치과의원,서울,도봉구,"서울특별시 도봉구 우이천로32길 62, (쌍문동)",1994-09-16
신호균모두드림내과의원,의원,서울,성동구,"서울특별시 성동구 왕십리로 339, 4, 5층 (하왕십리동)",2001-03-02
신화요양병원,요양병원,서울,영등포구,"서울특별시 영등포구 영중로 100, (영등포동7가)",2007-03-12
실로암안과병원,병원,서울,강서구,"서울특별시 강서구 등촌로 181, (등촌동, 실로암안과병원)",1986-02-18
실로암의원,의원,서울,노원구,"서울특별시 노원구 초안산로 19, (월계동)",1996-04-06
실로암한의원,한의원,서울,구로구,"서울특별시 구로구 개봉로 68, 2층 (개봉동)",1990-06-13
실로암한의원,한의원,서울,서초구,"서울특별시 서초구 방배로 76, 202,206호 (방배동, 머리재빌딩)",2005-04-14
실로암한의원,한의원,서울,중랑구,"서울특별시 중랑구 망우로 439, 연운빌딩 2층 (망우동)",2021-04-12
실루엣성형외과의원,의원,서울,강남구,"서울특별시 강남구 압구정로 156, (신사동, 카로시티2 301,302,303호)",2007-03-26
실버치과의원,치과의원,서울,광진구,"서울특별시 광진구 천호대로 571, 5층 (중곡동)",2010-03-30
실버한방병원,한방병원,서울,금천구,"서울특별시 금천구 독산로 362, (독산동)",1985-11-05
심강경희한의원,한의원,서울,강서구,"서울특별시 강서구 공항대로 168, 747 2층 210호 (마곡동)",2014-09-05
심동석신경과의원,의원,서울,강남구,"서울특별시 강남구 압구정로 204, 대언빌딩 2층 (신사동)",2017-03-03
심미치과의원,치과의원,서울,중구,"서울특별시 중구 동호로7길 45, 2층 (신당동)",2006-02-24
심비뇨기과의원,의원,서울,강서구,"서울특별시 강서구 화곡로 330, 2층 (화곡동)",1988-02-26
심상선독일치과의원,치과의원,서울,중구,"서울특별시 중구 남대문로 20, 2층 (남대문로3가)",1994-12-07
심신경외과의원,의원,서울,강남구,"서울특별시 강남구 양재대로55길 15, 2층 (일원동)",2019-03-21
